Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Russia,2020,DDoS,Healthcare,0.82,683572.0,Insider,Zero-day,Antivirus,69.0
Germany,2015,Malware,Healthcare,90.91,654633.0,Nation-state,Weak Passwords,Antivirus,43.0
Japan,2021,DDoS,Banking,32.84,311274.0,Hacker Group,Zero-day,Encryption,67.0
Russia,2017,Malware,Education,63.33,185208.0,Unknown,Zero-day,Firewall,3.0
Russia,2022,Man-in-the-Middle,Healthcare,27.82,182378.0,Insider,Social Engineering,AI-based Detection,10.0
China,2016,Phishing,IT,7.73,800480.0,Unknown,Zero-day,VPN,31.0
India,2100,DDoS,Banking,46.98,147761.0,Unknown,Unpatched Software,AI-based Detection,68.0
Russia,2024,Ransomware,Banking,80.11,923911.0,Insider,Unpatched Software,Firewall,60.0
Germany,2024,Ransomware,Education,11.81,418893.0,Insider,Social Engineering,Firewall,31.0
Germany,2016,Ransomware,Education,15.09,914593.0,Unknown,Weak Passwords,AI-based Detection,1.0
Japan,2015,SQL Injection,Banking,20.69,344789.0,Unknown,Zero-day,AI-based Detection,69.0
India,2100,DDoS,Telecommunications,36.86,116906.0,Insider,Social Engineering,VPN,7.0
Australia,2100,Phishing,Education,10.87,812343.0,Insider,Social Engineering,Antivirus,16.0
China,2017,Malware,IT,18.17,346390.0,Hacker Group,Weak Passwords,Firewall,36.0
Brazil,2018,Phishing,IT,13.89,30925.0,Insider,Zero-day,Encryption,43.0
UK,2017,DDoS,Government,15.63,663812.0,Nation-state,Zero-day,Antivirus,57.0
Brazil,2020,Man-in-the-Middle,Government,32.72,220978.0,Nation-state,Zero-day,VPN,47.0
UK,2021,DDoS,Banking,97.03,100486.0,Nation-state,Unpatched Software,Firewall,31.0
Russia,2023,SQL Injection,Education,75.63,195733.0,Nation-state,Weak Passwords,Antivirus,70.0
Japan,2023,Man-in-the-Middle,Healthcare,64.21,707978.0,Nation-state,Weak Passwords,VPN,41.0
Brazil,2018,Phishing,Healthcare,99.14,456432.0,Insider,Weak Passwords,Antivirus,66.0
Brazil,2016,Man-in-the-Middle,IT,75.51,37230.0,Unknown,Social Engineering,AI-based Detection,52.0
UK,2015,DDoS,Government,11.68,890414.0,Nation-state,Unpatched Software,AI-based Detection,28.0
France,2021,Malware,IT,33.84,440358.0,Nation-state,Social Engineering,Antivirus,5.0
India,2022,Malware,Healthcare,38.89,400752.0,Insider,Unpatched Software,Antivirus,36.0
France,2018,Phishing,Banking,89.77,134364.0,Nation-state,Zero-day,Antivirus,63.0
Germany,2017,DDoS,Telecommunications,15.01,406483.0,Insider,Weak Passwords,Antivirus,62.0
Brazil,2018,SQL Injection,IT,98.38,661583.0,Insider,Social Engineering,Encryption,30.0
Russia,2015,SQL Injection,Education,23.49,642834.0,Unknown,Weak Passwords,Antivirus,34.0
Brazil,2017,Ransomware,IT,9.43,493087.0,Hacker Group,Unpatched Software,Encryption,44.0
Brazil,2021,Man-in-the-Middle,IT,97.37,966570.0,Nation-state,Weak Passwords,Antivirus,32.0
Russia,2022,Phishing,Telecommunications,73.26,687383.0,Nation-state,Weak Passwords,VPN,8.0
Germany,2020,Phishing,Retail,78.84,733304.0,Unknown,Weak Passwords,VPN,19.0
India,2023,Ransomware,Telecommunications,3.51,661681.0,Hacker Group,Weak Passwords,AI-based Detection,14.0
France,2020,SQL Injection,IT,25.32,644538.0,Unknown,Social Engineering,Antivirus,57.0
Germany,2015,Phishing,Banking,58.78,861637.0,Unknown,Social Engineering,VPN,15.0
Brazil,2016,SQL Injection,Telecommunications,73.76,393189.0,Unknown,Zero-day,Antivirus,37.0
France,2022,SQL Injection,Healthcare,27.06,999545.0,Hacker Group,Social Engineering,Encryption,47.0
UK,2021,SQL Injection,IT,77.82,935572.0,Hacker Group,Social Engineering,Encryption,61.0
France,2016,Ransomware,IT,55.99,724608.0,Hacker Group,Social Engineering,Antivirus,21.0
Brazil,2024,DDoS,Banking,55.73,750979.0,Unknown,Social Engineering,AI-based Detection,30.0
India,2017,Malware,Telecommunications,7.44,552358.0,Nation-state,Weak Passwords,AI-based Detection,42.0
Australia,2100,Phishing,Banking,37.07,902654.0,Insider,Social Engineering,Antivirus,9.0
UK,2022,Ransomware,Healthcare,75.67,413293.0,Hacker Group,Zero-day,Antivirus,27.0
India,2024,Malware,Retail,56.19,114357.0,Insider,Zero-day,AI-based Detection,58.0
USA,2018,Malware,Government,70.53,363432.0,Hacker Group,Zero-day,AI-based Detection,40.0
Japan,2016,SQL Injection,Telecommunications,63.77,304618.0,Unknown,Unpatched Software,Antivirus,54.0
India,2022,SQL Injection,IT,32.73,153154.0,Hacker Group,Zero-day,VPN,37.0
China,2022,Malware,Banking,21.87,741153.0,Insider,Social Engineering,Encryption,66.0
Japan,2024,Man-in-the-Middle,Healthcare,72.08,261230.0,Insider,Social Engineering,VPN,19.0
UK,2023,SQL Injection,Telecommunications,53.82,688014.0,Unknown,Zero-day,Encryption,18.0
Australia,2018,DDoS,Education,3.3,45027.0,Unknown,Social Engineering,Antivirus,68.0
Australia,2021,Malware,Banking,13.99,689681.0,Nation-state,Weak Passwords,AI-based Detection,62.0
Germany,2024,Malware,Government,93.49,702688.0,Hacker Group,Unpatched Software,Antivirus,39.0
China,2016,Man-in-the-Middle,Banking,97.28,86038.0,Insider,Weak Passwords,Encryption,19.0
Japan,2015,Malware,Education,17.19,899381.0,Insider,Unpatched Software,Firewall,66.0
India,2023,Malware,IT,54.21,157667.0,Insider,Weak Passwords,VPN,34.0
UK,2021,Malware,Government,64.28,643714.0,Nation-state,Weak Passwords,VPN,25.0
USA,2023,Ransomware,Education,71.31,3607.0,Insider,Zero-day,AI-based Detection,7.0
UK,2017,Phishing,Banking,52.31,259706.0,Hacker Group,Social Engineering,Antivirus,2.0
India,2021,Man-in-the-Middle,Retail,40.94,698921.0,Insider,Weak Passwords,Firewall,72.0
Brazil,2024,Ransomware,Government,32.21,482574.0,Nation-state,Unpatched Software,Firewall,22.0
France,2017,DDoS,IT,20.44,618269.0,Nation-state,Weak Passwords,VPN,48.0
Russia,2016,Ransomware,Government,59.66,854961.0,Unknown,Unpatched Software,AI-based Detection,7.0
Brazil,2100,SQL Injection,Education,56.33,595157.0,Unknown,Zero-day,Encryption,41.0
France,2016,SQL Injection,Government,2.24,813706.0,Hacker Group,Weak Passwords,VPN,54.0
Brazil,2018,DDoS,Telecommunications,82.05,322527.0,Nation-state,Weak Passwords,Firewall,46.0
China,2024,DDoS,Healthcare,11.92,557016.0,Unknown,Zero-day,Firewall,34.0
UK,2017,DDoS,Healthcare,54.83,966668.0,Hacker Group,Weak Passwords,AI-based Detection,15.0
France,2020,SQL Injection,Retail,36.17,813165.0,Nation-state,Unpatched Software,Antivirus,44.0
France,2018,SQL Injection,Government,80.06,400807.0,Unknown,Weak Passwords,Firewall,67.0
Brazil,2023,Man-in-the-Middle,Retail,74.85,549300.0,Hacker Group,Weak Passwords,Antivirus,26.0
Brazil,2021,Ransomware,Government,74.01,956893.0,Unknown,Social Engineering,Antivirus,49.0
India,2015,SQL Injection,Government,46.2,245370.0,Insider,Social Engineering,AI-based Detection,57.0
Brazil,2017,Malware,IT,9.59,912731.0,Nation-state,Zero-day,Firewall,4.0
USA,2017,Malware,Telecommunications,81.19,362085.0,Insider,Weak Passwords,VPN,5.0
Germany,2022,SQL Injection,Telecommunications,42.8,862664.0,Hacker Group,Zero-day,Firewall,44.0
China,2015,Ransomware,Telecommunications,32.65,313384.0,Insider,Social Engineering,Antivirus,51.0
Russia,2018,Malware,Banking,17.99,593009.0,Unknown,Social Engineering,Firewall,27.0
Germany,2023,SQL Injection,Banking,30.68,933754.0,Insider,Social Engineering,Firewall,36.0
Japan,2015,DDoS,Government,82.12,55055.0,Hacker Group,Unpatched Software,VPN,44.0
France,2020,SQL Injection,Education,94.63,481180.0,Hacker Group,Weak Passwords,AI-based Detection,10.0
Russia,2020,Man-in-the-Middle,Banking,54.03,110260.0,Unknown,Weak Passwords,VPN,66.0
USA,2020,DDoS,Government,10.54,741592.0,Insider,Social Engineering,VPN,69.0
Russia,2020,Phishing,Education,34.41,928026.0,Unknown,Social Engineering,VPN,5.0
Germany,2018,SQL Injection,Education,84.27,399014.0,Nation-state,Zero-day,Firewall,52.0
China,2018,Ransomware,Retail,35.08,42831.0,Hacker Group,Social Engineering,Antivirus,42.0
UK,2018,Man-in-the-Middle,Healthcare,45.11,545613.0,Insider,Unpatched Software,VPN,25.0
Australia,2023,Man-in-the-Middle,Retail,92.57,813789.0,Nation-state,Unpatched Software,Antivirus,27.0
UK,2015,Ransomware,Banking,13.49,345825.0,Hacker Group,Zero-day,AI-based Detection,6.0
UK,2016,Phishing,Education,8.42,29671.0,Insider,Unpatched Software,Encryption,61.0
Australia,2020,Phishing,Government,92.5,34011.0,Insider,Unpatched Software,Firewall,9.0
USA,2018,SQL Injection,Banking,63.8,341383.0,Nation-state,Weak Passwords,Antivirus,9.0
Japan,2020,Ransomware,Banking,40.86,565080.0,Unknown,Zero-day,Encryption,6.0
Germany,2100,Malware,Banking,79.24,862136.0,Hacker Group,Zero-day,VPN,44.0
Japan,2022,Man-in-the-Middle,Retail,37.15,241151.0,Hacker Group,Social Engineering,Antivirus,56.0
India,2024,Man-in-the-Middle,Government,62.06,321158.0,Insider,Zero-day,VPN,37.0
France,2023,Phishing,Education,31.03,472386.0,Nation-state,Zero-day,Encryption,24.0
UK,2015,Man-in-the-Middle,Healthcare,82.54,34240.0,Insider,Weak Passwords,Encryption,45.0
USA,2100,Malware,Government,34.4,98018.0,Insider,Zero-day,VPN,55.0
Japan,2024,Phishing,Education,72.2,555808.0,Unknown,Weak Passwords,AI-based Detection,4.0
UK,2021,SQL Injection,Healthcare,52.23,449333.0,Hacker Group,Unpatched Software,Encryption,39.0
UK,2024,Man-in-the-Middle,Retail,7.16,368618.0,Nation-state,Social Engineering,Firewall,22.0
France,2022,Man-in-the-Middle,IT,78.23,310175.0,Hacker Group,Unpatched Software,AI-based Detection,53.0
UK,2020,Phishing,Retail,25.1,986980.0,Nation-state,Zero-day,VPN,71.0
UK,2024,DDoS,Retail,88.54,518181.0,Insider,Zero-day,Antivirus,24.0
India,2015,Phishing,Retail,49.51,72782.0,Unknown,Zero-day,Encryption,63.0
Russia,2018,DDoS,Telecommunications,4.08,502842.0,Unknown,Zero-day,VPN,15.0
UK,2024,Phishing,Retail,89.31,376586.0,Unknown,Weak Passwords,AI-based Detection,51.0
Germany,2023,Phishing,Government,88.55,698597.0,Unknown,Social Engineering,Antivirus,66.0
Russia,2015,SQL Injection,Education,5.26,559195.0,Insider,Weak Passwords,VPN,52.0
India,2024,Ransomware,Retail,17.57,236253.0,Unknown,Social Engineering,Firewall,38.0
Brazil,2016,DDoS,Healthcare,8.01,534847.0,Nation-state,Zero-day,Firewall,3.0
Australia,2016,Malware,Retail,39.86,262611.0,Unknown,Social Engineering,Antivirus,33.0
Brazil,2021,SQL Injection,Telecommunications,11.61,848702.0,Unknown,Weak Passwords,Antivirus,48.0
Germany,2017,Man-in-the-Middle,Retail,73.98,609952.0,Hacker Group,Unpatched Software,VPN,7.0
Germany,2022,Man-in-the-Middle,IT,65.86,978868.0,Insider,Weak Passwords,AI-based Detection,39.0
Australia,2021,Ransomware,Retail,41.26,659734.0,Insider,Unpatched Software,Antivirus,54.0
Japan,2022,DDoS,Retail,64.38,88354.0,Nation-state,Social Engineering,AI-based Detection,52.0
Brazil,2022,Phishing,Banking,75.01,771434.0,Hacker Group,Social Engineering,AI-based Detection,38.0
Australia,2016,SQL Injection,Banking,1.73,91560.0,Hacker Group,Weak Passwords,AI-based Detection,35.0
UK,2021,Phishing,Healthcare,1.35,375292.0,Unknown,Unpatched Software,Firewall,48.0
Japan,2015,SQL Injection,Retail,70.88,43366.0,Unknown,Weak Passwords,AI-based Detection,43.0
India,2100,Ransomware,Telecommunications,32.08,429224.0,Unknown,Social Engineering,AI-based Detection,56.0
Brazil,2017,Phishing,Healthcare,68.99,526227.0,Hacker Group,Weak Passwords,VPN,62.0
Japan,2024,Man-in-the-Middle,Retail,9.77,621770.0,Insider,Unpatched Software,AI-based Detection,70.0
India,2100,DDoS,Telecommunications,14.53,857688.0,Insider,Zero-day,Antivirus,55.0
Brazil,2024,SQL Injection,Banking,33.06,644841.0,Insider,Weak Passwords,Antivirus,64.0
Russia,2024,Man-in-the-Middle,IT,67.61,242847.0,Unknown,Unpatched Software,VPN,37.0
China,2022,Man-in-the-Middle,IT,85.3,155225.0,Unknown,Weak Passwords,Antivirus,13.0
Japan,2017,Man-in-the-Middle,Banking,79.68,712646.0,Nation-state,Unpatched Software,AI-based Detection,50.0
UK,2022,Phishing,Government,61.87,298941.0,Unknown,Zero-day,Antivirus,13.0
Russia,2018,Man-in-the-Middle,Telecommunications,4.92,783480.0,Insider,Zero-day,AI-based Detection,55.0
Germany,2100,Phishing,Healthcare,99.97,950451.0,Hacker Group,Weak Passwords,AI-based Detection,29.0
China,2018,Malware,Education,95.42,917848.0,Insider,Social Engineering,VPN,30.0
Germany,2016,SQL Injection,Education,42.98,194633.0,Nation-state,Social Engineering,Antivirus,37.0
Australia,2016,Malware,Telecommunications,68.42,778844.0,Unknown,Zero-day,Encryption,65.0
France,2018,SQL Injection,Government,36.14,668774.0,Unknown,Social Engineering,Firewall,61.0
France,2023,SQL Injection,Healthcare,69.76,824351.0,Unknown,Zero-day,Firewall,17.0
UK,2020,Phishing,Healthcare,3.02,510974.0,Unknown,Weak Passwords,Encryption,16.0
Australia,2021,Man-in-the-Middle,Healthcare,86.29,404595.0,Unknown,Social Engineering,AI-based Detection,3.0
Germany,2022,SQL Injection,IT,6.31,742273.0,Hacker Group,Zero-day,AI-based Detection,67.0
China,2016,Phishing,IT,27.46,973388.0,Nation-state,Zero-day,AI-based Detection,63.0
China,2024,DDoS,Government,69.28,890675.0,Hacker Group,Unpatched Software,Firewall,5.0
Germany,2022,SQL Injection,Education,68.96,710896.0,Nation-state,Zero-day,Firewall,18.0
India,2023,SQL Injection,Retail,2.85,30883.0,Nation-state,Weak Passwords,AI-based Detection,51.0
UK,2020,SQL Injection,Government,53.76,153355.0,Unknown,Zero-day,Encryption,57.0
Japan,2020,DDoS,Healthcare,25.83,96706.0,Insider,Unpatched Software,Firewall,42.0
Australia,2016,SQL Injection,IT,43.76,959797.0,Nation-state,Social Engineering,Antivirus,32.0
China,2024,Phishing,Telecommunications,9.45,501864.0,Hacker Group,Unpatched Software,Encryption,12.0
Japan,2024,Man-in-the-Middle,IT,63.57,358626.0,Unknown,Weak Passwords,VPN,26.0
Japan,2017,Man-in-the-Middle,Healthcare,11.3,64472.0,Insider,Social Engineering,Firewall,43.0
India,2023,DDoS,Education,82.11,23683.0,Hacker Group,Weak Passwords,Encryption,69.0
USA,2017,Man-in-the-Middle,IT,5.21,22635.0,Unknown,Unpatched Software,AI-based Detection,8.0
UK,2017,SQL Injection,Government,98.75,894933.0,Insider,Weak Passwords,Antivirus,59.0
UK,2023,Malware,Banking,55.34,259176.0,Unknown,Unpatched Software,VPN,3.0
China,2022,Man-in-the-Middle,Banking,12.36,987115.0,Unknown,Social Engineering,Encryption,55.0
France,2022,DDoS,Healthcare,6.48,727601.0,Insider,Social Engineering,Encryption,50.0
UK,2021,Phishing,Retail,56.53,542850.0,Nation-state,Zero-day,Antivirus,41.0
India,2023,Ransomware,Education,41.15,352194.0,Nation-state,Unpatched Software,Firewall,10.0
France,2100,Malware,Healthcare,39.83,571521.0,Nation-state,Weak Passwords,Antivirus,8.0
Brazil,2023,SQL Injection,Healthcare,47.59,933271.0,Insider,Unpatched Software,Antivirus,30.0
Brazil,2022,Phishing,Banking,98.06,884502.0,Insider,Unpatched Software,AI-based Detection,55.0
China,2015,Ransomware,IT,57.27,762001.0,Nation-state,Social Engineering,VPN,67.0
France,2016,DDoS,Government,82.49,351330.0,Nation-state,Weak Passwords,VPN,57.0
Australia,2023,Malware,Healthcare,37.73,158107.0,Unknown,Unpatched Software,AI-based Detection,43.0
USA,2016,SQL Injection,Government,77.45,632319.0,Unknown,Weak Passwords,AI-based Detection,47.0
India,2017,DDoS,Government,75.52,352250.0,Insider,Zero-day,VPN,39.0
France,2018,Ransomware,Telecommunications,11.28,504165.0,Hacker Group,Zero-day,AI-based Detection,55.0
Brazil,2024,DDoS,Telecommunications,36.69,738981.0,Unknown,Social Engineering,VPN,45.0
UK,2021,Ransomware,Banking,79.33,555527.0,Unknown,Unpatched Software,Firewall,33.0
Russia,2100,SQL Injection,Banking,59.78,681856.0,Insider,Zero-day,VPN,52.0
Germany,2024,DDoS,Retail,38.65,197609.0,Nation-state,Social Engineering,VPN,15.0
USA,2018,Man-in-the-Middle,Banking,85.29,685291.0,Hacker Group,Social Engineering,Encryption,53.0
Japan,2024,Ransomware,Retail,37.49,835730.0,Insider,Zero-day,VPN,14.0
Germany,2016,Phishing,Education,48.57,907547.0,Unknown,Unpatched Software,Firewall,33.0
France,2100,Phishing,Retail,3.0,298096.0,Unknown,Social Engineering,Firewall,16.0
UK,2023,Phishing,Retail,33.06,18579.0,Unknown,Social Engineering,VPN,13.0
UK,2021,Malware,Education,70.9,490771.0,Nation-state,Weak Passwords,Antivirus,70.0
Germany,2020,Phishing,Healthcare,38.12,394577.0,Nation-state,Unpatched Software,Encryption,33.0
India,2021,DDoS,Telecommunications,35.19,155426.0,Nation-state,Zero-day,Firewall,16.0
Russia,2017,Ransomware,Education,88.9,444399.0,Insider,Zero-day,Encryption,38.0
Japan,2015,Man-in-the-Middle,Healthcare,7.96,770028.0,Unknown,Unpatched Software,Firewall,58.0
Brazil,2023,Ransomware,Retail,66.38,608520.0,Hacker Group,Zero-day,VPN,14.0
Australia,2020,DDoS,Healthcare,91.45,471113.0,Hacker Group,Unpatched Software,AI-based Detection,71.0
Germany,2015,Man-in-the-Middle,Retail,63.65,311253.0,Nation-state,Weak Passwords,AI-based Detection,36.0
Brazil,2023,DDoS,IT,84.19,390409.0,Insider,Zero-day,AI-based Detection,31.0
China,2015,SQL Injection,IT,28.35,604786.0,Unknown,Zero-day,VPN,34.0
China,2024,SQL Injection,Government,84.23,568377.0,Unknown,Social Engineering,Antivirus,38.0
Russia,2020,SQL Injection,Telecommunications,29.89,267678.0,Insider,Zero-day,AI-based Detection,13.0
Australia,2020,Malware,Education,5.95,592485.0,Insider,Weak Passwords,Firewall,10.0
USA,2018,DDoS,Government,84.85,639011.0,Insider,Weak Passwords,Firewall,26.0
China,2023,Man-in-the-Middle,Telecommunications,28.82,446243.0,Unknown,Zero-day,Firewall,66.0
Germany,2016,DDoS,Government,22.48,10438.0,Nation-state,Unpatched Software,Encryption,10.0
Brazil,2023,SQL Injection,IT,97.37,796195.0,Nation-state,Social Engineering,Firewall,20.0
Australia,2020,SQL Injection,Telecommunications,53.32,55392.0,Unknown,Zero-day,VPN,44.0
Germany,2016,DDoS,IT,63.11,579291.0,Hacker Group,Unpatched Software,Encryption,6.0
Germany,2023,Malware,Banking,70.19,791366.0,Unknown,Unpatched Software,Firewall,61.0
France,2022,Malware,IT,92.29,727826.0,Unknown,Weak Passwords,Encryption,63.0
Russia,2023,Malware,IT,98.07,608695.0,Nation-state,Unpatched Software,AI-based Detection,31.0
Australia,2100,SQL Injection,Retail,13.96,496667.0,Unknown,Zero-day,Antivirus,45.0
Japan,2024,Malware,Retail,56.9,353887.0,Unknown,Weak Passwords,Antivirus,59.0
China,2100,Ransomware,Banking,32.69,713584.0,Insider,Weak Passwords,Firewall,26.0
India,2017,DDoS,IT,70.09,417831.0,Unknown,Unpatched Software,Encryption,36.0
USA,2100,Ransomware,Banking,22.62,51219.0,Unknown,Zero-day,Encryption,36.0
UK,2017,Ransomware,Retail,47.91,153257.0,Insider,Zero-day,Encryption,59.0
Russia,2017,Phishing,Retail,20.58,768022.0,Unknown,Zero-day,VPN,64.0
France,2024,Phishing,Banking,26.29,314347.0,Hacker Group,Unpatched Software,Antivirus,28.0
Germany,2020,Phishing,IT,33.51,649406.0,Insider,Social Engineering,Firewall,27.0
Japan,2023,Phishing,Education,68.28,744595.0,Insider,Zero-day,Antivirus,44.0
Brazil,2021,DDoS,Banking,14.72,126781.0,Insider,Weak Passwords,Antivirus,32.0
France,2015,Phishing,Retail,44.29,427167.0,Insider,Unpatched Software,Encryption,11.0
Australia,2023,Ransomware,Retail,41.54,396865.0,Insider,Social Engineering,AI-based Detection,42.0
UK,2100,Phishing,Telecommunications,90.67,902952.0,Unknown,Weak Passwords,Encryption,8.0
USA,2023,Ransomware,IT,34.94,632075.0,Insider,Social Engineering,Encryption,64.0
France,2017,SQL Injection,Healthcare,83.73,728486.0,Nation-state,Social Engineering,Encryption,61.0
Australia,2018,DDoS,Education,64.62,109439.0,Insider,Zero-day,Antivirus,32.0
India,2018,Malware,Education,86.38,1174.0,Insider,Weak Passwords,VPN,23.0
Russia,2024,Phishing,Education,25.7,953987.0,Insider,Social Engineering,AI-based Detection,65.0
Brazil,2021,DDoS,Government,56.2,713309.0,Hacker Group,Zero-day,Antivirus,51.0
Russia,2021,DDoS,Healthcare,11.38,334528.0,Insider,Weak Passwords,VPN,5.0
USA,2016,Phishing,IT,92.53,219826.0,Nation-state,Social Engineering,Antivirus,38.0
USA,2015,SQL Injection,Telecommunications,88.6,916744.0,Nation-state,Social Engineering,Antivirus,47.0
USA,2017,Man-in-the-Middle,IT,30.4,568560.0,Hacker Group,Zero-day,AI-based Detection,49.0
UK,2100,Malware,Education,90.7,440178.0,Insider,Unpatched Software,VPN,15.0
Japan,2023,SQL Injection,Healthcare,45.38,172628.0,Insider,Weak Passwords,Encryption,4.0
USA,2022,Ransomware,Government,71.33,257989.0,Unknown,Unpatched Software,AI-based Detection,68.0
Japan,2021,Phishing,Healthcare,9.42,573560.0,Hacker Group,Social Engineering,Antivirus,9.0
Brazil,2018,Malware,Education,5.27,850056.0,Hacker Group,Weak Passwords,VPN,65.0
Australia,2018,DDoS,Retail,41.59,860119.0,Nation-state,Unpatched Software,Encryption,30.0
USA,2015,SQL Injection,Education,98.78,140958.0,Insider,Social Engineering,AI-based Detection,51.0
China,2015,DDoS,Telecommunications,61.24,965727.0,Nation-state,Zero-day,AI-based Detection,32.0
Russia,2015,Malware,Telecommunications,69.34,20269.0,Unknown,Social Engineering,VPN,36.0
Germany,2015,DDoS,Retail,7.84,323011.0,Nation-state,Social Engineering,Encryption,25.0
USA,2016,Ransomware,Retail,57.17,50321.0,Nation-state,Social Engineering,Antivirus,25.0
Russia,2020,DDoS,Banking,33.99,851863.0,Insider,Weak Passwords,Firewall,25.0
China,2024,DDoS,IT,22.45,704925.0,Unknown,Unpatched Software,AI-based Detection,52.0
France,2018,Ransomware,Banking,27.78,355077.0,Nation-state,Unpatched Software,VPN,65.0
Australia,2022,Malware,Education,47.12,866057.0,Unknown,Social Engineering,Antivirus,17.0
Germany,2016,SQL Injection,Telecommunications,48.77,169455.0,Insider,Zero-day,Antivirus,23.0
India,2023,SQL Injection,IT,92.35,380022.0,Unknown,Unpatched Software,Encryption,30.0
USA,2100,SQL Injection,Retail,88.98,898679.0,Insider,Zero-day,Firewall,35.0
Japan,2020,Ransomware,IT,61.69,704157.0,Unknown,Zero-day,Antivirus,42.0
Russia,2022,Malware,Telecommunications,84.57,262201.0,Nation-state,Weak Passwords,Encryption,54.0
Brazil,2021,DDoS,Telecommunications,67.87,683261.0,Hacker Group,Unpatched Software,Antivirus,13.0
USA,2022,Phishing,IT,59.7,382379.0,Nation-state,Unpatched Software,Firewall,2.0
Germany,2024,Phishing,Government,90.21,510657.0,Nation-state,Social Engineering,VPN,62.0
UK,2018,SQL Injection,Education,16.23,912558.0,Nation-state,Unpatched Software,Antivirus,69.0
UK,2020,Ransomware,Banking,16.91,952504.0,Hacker Group,Zero-day,AI-based Detection,45.0
France,2015,Phishing,Government,41.88,913027.0,Insider,Unpatched Software,Antivirus,68.0
Brazil,2100,Malware,Government,31.04,269271.0,Insider,Unpatched Software,Antivirus,58.0
India,2016,Ransomware,Healthcare,37.12,113404.0,Hacker Group,Social Engineering,Antivirus,11.0
Russia,2023,DDoS,Healthcare,46.2,310868.0,Hacker Group,Weak Passwords,Antivirus,10.0
Japan,2024,Man-in-the-Middle,Telecommunications,98.3,458630.0,Insider,Social Engineering,Antivirus,14.0
USA,2024,Ransomware,IT,16.61,912183.0,Unknown,Weak Passwords,Encryption,44.0
Brazil,2017,Man-in-the-Middle,IT,71.06,871891.0,Unknown,Social Engineering,Antivirus,52.0
USA,2016,SQL Injection,Government,14.17,863298.0,Nation-state,Unpatched Software,VPN,15.0
Australia,2018,Malware,Healthcare,82.65,434626.0,Unknown,Social Engineering,AI-based Detection,29.0
Australia,2018,Ransomware,IT,78.27,195490.0,Unknown,Zero-day,Antivirus,63.0
UK,2022,Ransomware,Retail,10.44,19404.0,Nation-state,Unpatched Software,Firewall,32.0
Russia,2100,Ransomware,Healthcare,21.95,217438.0,Hacker Group,Social Engineering,Firewall,14.0
India,2018,Malware,Healthcare,30.83,481452.0,Unknown,Weak Passwords,AI-based Detection,57.0
UK,2020,SQL Injection,Education,35.57,386093.0,Unknown,Unpatched Software,VPN,42.0
France,2100,Man-in-the-Middle,Banking,28.29,929020.0,Nation-state,Weak Passwords,Antivirus,2.0
USA,2022,Malware,IT,4.06,863756.0,Nation-state,Unpatched Software,AI-based Detection,66.0
China,2018,Ransomware,Telecommunications,58.28,300898.0,Nation-state,Unpatched Software,Encryption,18.0
Japan,2017,SQL Injection,Healthcare,7.31,191328.0,Insider,Weak Passwords,Encryption,51.0
Germany,2021,Man-in-the-Middle,Banking,37.69,361849.0,Hacker Group,Zero-day,Firewall,63.0
Brazil,2016,Phishing,Retail,27.99,30884.0,Nation-state,Unpatched Software,Antivirus,26.0
Brazil,2024,Ransomware,IT,71.55,902924.0,Unknown,Social Engineering,Encryption,12.0
Brazil,2024,Man-in-the-Middle,Telecommunications,27.13,943178.0,Nation-state,Weak Passwords,VPN,63.0
Australia,2021,SQL Injection,Telecommunications,10.28,994468.0,Insider,Unpatched Software,Antivirus,8.0
China,2022,Phishing,Retail,31.35,131361.0,Insider,Weak Passwords,Firewall,39.0
China,2023,Malware,Telecommunications,80.1,237658.0,Unknown,Zero-day,Antivirus,26.0
USA,2017,Ransomware,Banking,42.19,157313.0,Hacker Group,Unpatched Software,Antivirus,47.0
UK,2021,Man-in-the-Middle,Education,40.98,414340.0,Insider,Unpatched Software,AI-based Detection,10.0
France,2020,DDoS,Healthcare,58.8,153523.0,Insider,Social Engineering,Encryption,22.0
UK,2100,Phishing,IT,3.33,232665.0,Unknown,Social Engineering,AI-based Detection,65.0
Germany,2022,Phishing,Government,58.98,383945.0,Nation-state,Zero-day,Encryption,49.0
Brazil,2023,Ransomware,Government,4.6,762006.0,Unknown,Weak Passwords,Antivirus,21.0
Germany,2100,SQL Injection,Government,96.91,408103.0,Nation-state,Unpatched Software,Firewall,27.0
France,2022,Phishing,Healthcare,85.91,44837.0,Unknown,Zero-day,AI-based Detection,18.0
Germany,2023,DDoS,Telecommunications,51.49,642699.0,Unknown,Social Engineering,Firewall,51.0
UK,2021,Ransomware,Telecommunications,3.99,634820.0,Insider,Unpatched Software,Encryption,33.0
France,2021,Malware,Retail,3.44,887718.0,Insider,Zero-day,Antivirus,55.0
USA,2020,DDoS,Education,52.7,541631.0,Unknown,Zero-day,AI-based Detection,30.0
USA,2016,Ransomware,Retail,11.58,523522.0,Unknown,Weak Passwords,Encryption,57.0
Russia,2021,DDoS,Government,91.69,686309.0,Unknown,Unpatched Software,Antivirus,42.0
India,2015,Man-in-the-Middle,Education,79.89,416328.0,Nation-state,Zero-day,Encryption,55.0
